Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
1,0,0,0,0,0,0,0,0,7,12,11,0,1,8,6,0,0
0,0,0,0,0,0,0,0,0,6,16,15,0,1,5,3,0,0
0,0,0,0,0,0,0,0,0,2,17,19,0,5,2,1,0,0
0,0,0,0,0,0,0,0,0,1,25,19,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,23,20,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,1,23,21,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,2,22,21,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,23,21,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,2,22,21,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,2,19,21,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0,8,15,17,0,4,0,2,0,0
0,0,0,0,0,0,0,0,0,8,11,12,0,9,1,5,0,0
0,0,0,0,0,0,0,0,0,17,4,4,0,5,1,15,0,0
0,0,0,0,0,0,0,0,0,22,2,2,0,4,0,15,1,0
0,0,0,0,0,0,0,0,0,35,3,2,0,2,0,3,1,0
0,0,0,0,0,0,0,0,0,31,3,1,0,7,0,3,1,0
0,0,0,0,0,0,0,0,0,35,8,0,0,1,0,1,1,0
0,0,0,0,0,0,0,0,0,13,8,1,0,20,0,3,1,0
0,0,0,0,0,0,0,0,0,29,10,1,0,1,0,4,1,0
1,0,0,0,0,0,0,0,0,30,10,1,0,0,0,4,0,0
1,0,0,0,0,0,0,0,0,23,10,1,0,6,1,4,0,0
1,1,0,0,0,0,0,0,0,21,11,1,0,4,4,3,0,0
1,2,0,0,0,0,0,0,0,23,9,2,0,2,6,1,0,0
