Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
15,20,1,0,0,0,7,2,0,0,0,0,8,0,3,0,0,0
19,22,1,0,0,0,10,2,0,0,0,0,1,0,1,0,0,0
21,22,1,0,0,0,8,1,0,0,0,0,2,0,1,0,0,0
26,21,1,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0
28,20,1,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0
33,18,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
33,17,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
25,15,1,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0
27,17,1,0,7,0,1,0,0,0,0,0,3,0,0,0,0,0
32,17,1,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0
24,18,1,0,3,0,3,0,0,0,0,0,7,0,0,0,0,0
21,21,2,0,0,0,6,0,0,0,0,0,4,0,2,0,0,0
