Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
29,22,2,0,0,0,13,0,0,1,0,0,0,0,3,0,0,0
13,24,2,0,0,0,15,0,0,0,0,0,13,0,3,0,0,0
32,23,2,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0
37,23,2,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0
38,21,2,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
45,20,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
43,19,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
13,1,0,0,41,15,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,50,15,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,55,15,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,55,15,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,55,15,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,55,15,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,55,15,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,55,15,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,55,15,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,55,15,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,55,15,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,54,15,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,0,47,15,0,0,0,0,0,0,0,0,0,0,0,0
13,7,0,0,35,15,0,0,0,0,0,0,0,0,0,0,0,0
38,8,0,0,8,15,1,0,0,0,0,0,0,0,0,0,0,0
41,10,1,0,2,15,1,0,0,0,0,0,0,0,0,0,0,0
36,10,1,0,0,15,4,0,0,0,0,0,4,0,0,0,0,0
30,11,1,0,0,14,9,1,0,0,0,0,4,0,0,0,0,0
31,15,1,0,0,10,11,1,0,0,0,0,1,0,0,0,0,0
24,11,1,0,0,8,18,1,0,2,0,0,1,0,4,0,0,0
