Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
1,10,1,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0
2,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3,9,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
5,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
5,8,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
9,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,7,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
6,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,9,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
2,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,9,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
