Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
26,15,3,0,0,0,7,0,0,1,0,0,4,0,0,0,0,0
25,14,3,0,0,0,9,0,0,1,0,0,4,0,0,0,0,0
27,17,3,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
24,16,3,0,0,0,6,0,0,0,0,0,6,0,1,0,0,0
23,15,0,0,1,0,8,0,0,0,0,0,9,0,0,0,0,0
34,12,0,0,1,0,5,0,0,0,0,0,4,0,0,0,0,0
35,10,0,0,9,0,1,0,0,0,0,0,1,0,0,0,0,0
35,9,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
31,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
38,10,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0
38,12,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0
30,14,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0
30,16,1,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
12,17,2,0,0,0,10,0,0,0,0,0,15,0,0,0,0,0
26,16,3,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0
31,14,3,0,0,0,4,0,0,0,0,0,2,0,2,0,0,0
