Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
20,11,3,0,0,0,7,0,0,1,1,0,4,0,2,0,0,0
14,14,3,0,0,0,10,0,0,0,1,0,6,0,1,0,0,0
13,16,6,0,0,0,10,0,0,0,0,0,3,0,1,0,0,0
13,17,7,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0
11,17,5,0,0,0,12,0,0,0,0,0,4,0,0,0,0,0
17,17,5,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0
17,18,5,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0
19,17,5,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
20,14,5,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0
15,11,5,0,0,0,12,0,0,0,0,0,6,0,0,0,0,0
19,7,4,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0
34,4,4,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0
36,2,4,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0
10,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,5,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
22,7,4,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0
14,10,6,0,0,0,9,0,0,0,0,0,10,0,0,0,0,0
22,16,7,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
19,17,7,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
18,18,7,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
17,17,7,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
18,17,7,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
17,18,7,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
15,15,3,0,0,0,8,0,0,0,0,0,7,0,1,0,0,0
19,11,3,0,0,0,7,0,0,0,0,0,8,0,1,0,0,0
