Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
23,18,2,0,0,0,5,0,0,0,0,0,6,0,1,0,0,0
25,17,3,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0
16,14,3,0,0,0,9,0,0,0,0,0,13,0,0,0,0,0
28,12,2,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0
29,12,3,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0
27,11,3,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0
20,4,3,0,0,0,23,0,0,0,0,0,5,0,0,0,0,0
15,4,3,0,0,0,24,0,0,0,0,0,9,0,0,0,0,0
18,11,3,0,0,0,18,0,0,0,0,0,5,0,0,0,0,0
30,12,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
21,9,2,0,0,0,8,0,0,0,0,0,15,0,0,0,0,0
43,9,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
40,9,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0
37,9,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,0,37,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,0,40,1,0,0,0,0,0,0,0,1,0,0,0,0,0
36,8,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,11,1,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0
38,11,2,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0
16,11,2,1,0,0,7,0,0,0,0,0,18,0,0,0,0,0
31,12,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
20,11,3,0,0,0,17,0,0,0,0,0,4,0,0,0,0,0
21,6,3,0,0,0,23,0,0,0,0,0,2,0,0,0,0,0
11,5,3,0,0,0,26,0,0,0,0,0,10,0,0,0,0,0
26,5,3,0,0,0,19,0,1,0,0,0,1,0,0,0,0,0
24,13,3,0,0,0,8,0,2,0,0,0,5,0,0,0,0,0
25,14,2,0,0,0,6,0,2,0,0,0,6,0,0,0,0,0
29,16,2,0,0,0,1,0,2,0,0,0,5,0,0,0,0,0
26,16,1,0,0,0,2,0,2,0,0,0,7,0,1,0,0,0
27,15,1,0,0,0,3,0,2,1,2,0,2,0,2,0,0,0
