Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
4,11,0,0,0,12,2,0,0,1,0,0,1,0,2,0,0,0
7,13,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0
7,13,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0
7,12,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0
6,12,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0
1,7,0,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,19,14,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,19,14,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,19,14,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,19,14,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,19,14,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,19,14,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,19,14,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,19,14,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,19,14,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,18,14,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,18,14,0,0,0,0,0,0,0,0,0,0,0,0
13,16,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
14,17,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
12,17,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
13,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
8,17,0,0,0,1,4,0,0,0,0,0,3,0,0,0,0,0
7,17,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0
