Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
18,17,3,0,0,0,13,0,0,1,0,0,3,0,13,0,0,0
23,16,3,0,0,0,13,0,0,0,0,0,2,0,11,0,0,0
33,13,3,0,0,0,11,0,0,0,0,0,8,0,0,0,0,0
47,12,3,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
52,11,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
52,11,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,3,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0
35,8,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
40,10,3,0,11,0,3,0,0,0,0,0,1,0,0,0,0,0
40,11,3,0,7,0,6,0,0,0,0,0,1,0,0,0,0,0
46,13,3,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
37,13,3,0,0,0,6,1,0,1,0,0,3,0,4,0,0,0
