Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
16,14,6,0,0,0,7,1,0,0,0,0,4,0,4,0,0,0
15,17,6,0,0,0,9,0,0,0,0,0,4,0,1,0,0,0
12,16,9,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0
12,17,12,0,0,0,7,0,0,0,0,0,3,0,1,0,0,0
16,16,12,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0
11,14,12,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0
15,14,12,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0
11,13,12,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0
14,10,10,0,0,0,13,0,0,0,0,0,5,0,0,0,0,0
20,9,10,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0
21,4,10,0,0,0,10,0,0,0,0,0,7,0,0,0,0,0
28,6,9,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0
16,7,9,0,0,0,16,0,0,0,0,0,4,0,0,0,0,0
17,6,5,0,0,0,21,0,0,0,0,0,3,0,0,0,0,0
18,5,2,1,0,0,19,0,0,0,0,0,7,0,0,0,0,0
35,5,2,1,0,0,5,0,0,0,0,0,4,0,0,0,0,0
39,3,1,1,0,0,3,0,0,0,0,0,5,0,0,0,0,0
44,2,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0
13,1,1,35,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0
40,3,3,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0
36,5,4,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0
18,5,4,0,0,0,15,0,0,0,0,0,10,0,0,0,0,0
21,6,5,0,0,0,17,0,1,0,0,0,2,0,0,0,0,0
19,6,8,0,0,0,15,0,1,0,0,0,3,0,0,0,0,0
22,7,8,0,0,0,10,0,1,0,0,0,4,0,0,0,0,0
20,10,9,0,0,0,7,0,1,0,0,0,5,0,0,0,0,0
17,13,10,0,0,0,9,0,1,0,0,0,2,0,0,0,0,0
15,13,11,0,0,0,11,0,1,0,0,0,1,0,0,0,0,0
9,13,11,0,0,0,16,0,1,0,0,0,2,0,0,0,0,0
13,14,11,0,0,0,11,0,1,0,0,0,2,0,0,0,0,0
13,14,10,0,0,0,9,0,1,0,0,0,5,0,0,0,0,0
20,13,11,0,0,0,5,0,1,0,0,0,2,0,0,0,0,0
16,12,11,1,0,0,9,0,1,0,0,0,1,0,1,0,0,0
14,12,8,1,0,0,8,0,2,0,0,0,5,0,2,0,0,0
