Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
10,37,2,0,0,0,7,0,0,0,0,0,8,0,2,0,0,0
23,37,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
27,36,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
29,35,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,35,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,21,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
16,13,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
29,30,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
29,35,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,36,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
20,36,1,0,0,0,4,0,0,1,1,0,3,0,0,0,0,0
