Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
18,13,7,0,0,0,4,0,0,0,0,0,2,0,4,0,0,0
18,17,7,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0
16,17,7,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
15,17,8,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0
9,18,10,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0
11,19,13,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
8,16,16,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
8,13,16,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0
14,8,16,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0
18,7,16,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
15,5,15,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0
12,4,13,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0
11,5,12,0,0,0,17,0,0,0,0,0,3,0,0,0,0,0
15,4,11,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0
29,4,10,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
27,4,10,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0
25,4,7,9,1,0,0,0,0,0,0,0,2,0,0,0,0,0
7,1,3,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,2,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,36,1,0,1,0,0,0,0,0,1,0,0,0,0,0
29,3,6,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0
26,4,6,3,1,0,3,0,0,0,0,0,5,0,0,0,0,0
30,4,9,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0
15,5,10,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0
13,6,12,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0
7,7,14,0,0,0,15,0,0,0,0,0,5,0,0,0,0,0
21,9,14,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
16,8,15,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
7,10,16,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0
7,15,17,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
10,18,16,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
10,17,15,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0
10,18,14,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0
16,17,11,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
14,18,7,0,0,0,5,0,1,0,0,0,3,0,0,0,0,0
14,16,7,0,0,0,6,0,1,0,0,0,3,0,1,0,0,0
16,10,6,0,0,0,6,1,1,0,2,0,1,0,5,0,0,0
