Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
23,8,2,0,0,0,20,1,0,0,0,0,4,0,0,0,0,0
23,8,2,0,0,0,20,1,0,0,0,0,4,0,0,0,0,0
25,8,2,0,0,0,15,1,0,0,0,0,7,0,0,0,0,0
45,6,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
47,6,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
50,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,6,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
46,6,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
22,7,2,0,0,0,15,1,0,0,0,0,11,0,0,0,0,0
24,8,2,0,0,0,19,1,0,0,0,0,4,0,0,0,0,0
