Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
23,14,6,0,0,0,7,0,0,0,0,0,1,0,2,0,0,0
27,15,6,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
15,16,6,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0
16,15,7,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0
23,15,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
23,15,7,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
20,15,7,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0
10,9,3,0,0,0,28,0,0,0,0,0,3,0,0,0,0,0
12,10,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
6,6,4,0,0,0,33,0,0,0,0,0,4,0,0,0,0,0
16,10,4,0,0,0,20,0,0,0,0,0,3,0,0,0,0,0
24,15,4,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0
30,15,3,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
26,13,3,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0
21,13,2,1,1,0,7,0,0,0,0,0,8,0,0,0,0,0
29,12,2,4,1,0,4,0,0,0,0,0,1,0,0,0,0,0
26,11,2,10,1,0,1,0,0,0,0,0,2,0,0,0,0,0
18,1,2,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,2,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,2,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,9,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,9,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,10,1,3,1,0,0,0,0,0,0,0,9,0,0,0,0,0
32,14,2,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0
31,14,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
22,12,2,1,1,0,15,0,0,0,0,0,0,0,0,0,0,0
4,7,4,0,0,0,32,0,0,0,0,0,6,0,0,0,0,0
9,7,5,0,0,0,31,0,0,0,0,0,1,0,0,0,0,0
21,12,6,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0
26,11,8,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0
25,12,8,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0
18,14,7,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0
15,13,7,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0
16,15,7,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0
20,15,6,0,0,0,10,0,0,0,0,0,1,0,1,0,0,0
