Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
22,12,3,0,0,0,12,0,0,0,0,0,4,0,2,0,0,0
27,11,3,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0
27,11,3,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0
25,10,2,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0
32,8,2,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0
27,11,2,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0
34,9,1,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0
26,7,1,0,0,0,19,0,0,0,0,0,2,0,0,0,0,0
18,6,1,0,0,0,22,0,0,0,0,0,8,0,0,0,0,0
32,5,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0
34,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
27,9,0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0
19,7,0,0,0,0,21,0,0,0,0,0,8,0,0,0,0,0
25,6,0,0,0,0,19,0,0,0,0,0,5,0,0,0,0,0
42,6,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
47,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
47,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,6,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
40,6,0,1,0,0,6,0,0,0,0,0,2,0,0,0,0,0
26,6,0,0,0,0,16,0,0,0,0,0,7,0,0,0,0,0
20,7,0,0,0,0,20,0,0,0,0,0,8,0,0,0,0,0
31,10,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0
40,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
26,5,0,0,0,0,17,0,0,0,0,0,7,0,0,0,0,0
30,6,0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0
27,8,0,0,0,0,11,0,0,0,0,0,9,0,0,0,0,0
36,9,2,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0
26,9,2,0,0,0,11,0,0,0,0,0,7,0,0,0,0,0
30,8,3,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0
32,9,3,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0
22,10,3,0,0,0,13,0,0,0,0,0,7,0,0,0,0,0
25,10,3,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0
31,10,3,1,0,0,7,0,0,0,0,0,3,0,0,0,0,0
