Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
27,25,1,0,0,0,8,0,0,0,1,0,6,0,0,0,0,0
30,24,1,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0
31,21,1,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0
35,17,1,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0
45,16,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
52,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,15,1,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0
36,17,1,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0
27,21,1,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0
29,24,1,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0
29,24,1,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0
30,24,1,0,0,0,7,0,0,0,1,0,4,0,1,0,0,0
