Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
30,9,6,0,0,0,5,2,0,0,0,0,0,0,3,0,0,0
12,6,11,0,0,0,11,1,0,0,0,0,14,0,0,0,0,0
17,8,13,0,0,0,13,1,0,0,0,0,3,0,0,0,0,0
21,8,13,0,0,0,10,1,0,0,0,0,2,0,0,0,0,0
20,11,14,0,0,0,6,0,0,0,0,0,3,0,1,0,0,0
15,12,16,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0
18,14,15,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0
16,13,16,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0
15,13,16,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
17,13,15,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0
22,12,15,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
22,7,11,0,1,0,8,0,0,0,0,0,6,0,0,0,0,0
21,5,8,0,1,0,14,0,0,0,0,0,6,0,0,0,0,0
20,3,5,0,1,0,13,0,0,0,0,0,13,0,0,0,0,0
43,2,5,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0
33,2,5,10,1,0,0,0,0,0,0,0,4,0,0,0,0,0
31,1,3,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,47,1,0,0,0,0,0,0,0,1,0,0,0,0,0
34,2,1,16,1,0,0,0,0,0,0,0,1,0,0,0,0,0
36,2,2,7,1,0,0,0,0,0,0,0,7,0,0,0,0,0
36,3,3,4,1,0,5,0,0,0,0,0,3,0,0,0,0,0
26,4,4,1,1,0,10,0,0,0,0,0,9,0,0,0,0,0
24,5,6,1,1,0,15,0,0,0,0,0,3,0,0,0,0,0
19,7,8,0,1,0,15,0,0,0,0,0,5,0,0,0,0,0
19,8,9,0,1,0,15,0,0,0,0,0,3,0,0,0,0,0
19,8,14,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0
18,12,14,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0
20,13,15,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0
22,13,16,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
17,13,16,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
15,11,16,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0
14,11,14,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0
20,8,14,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0
26,6,14,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
24,7,13,0,0,0,5,0,0,0,0,0,5,0,1,0,0,0
20,8,9,0,0,0,10,0,0,0,0,1,4,0,3,0,0,0
16,10,7,0,0,0,10,0,0,0,0,1,5,0,6,0,0,0
