Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
21,15,3,1,0,0,6,0,0,0,1,0,4,1,1,0,0,0
11,16,3,1,0,0,6,0,0,1,1,0,14,0,0,0,0,0
16,27,4,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0
16,27,4,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0
16,26,5,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0
11,25,5,0,0,0,5,0,0,0,1,0,6,0,0,0,0,0
16,26,5,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
17,22,5,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0
16,18,5,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0
23,10,6,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0
24,10,6,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0
28,9,6,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0
20,6,5,0,0,0,14,0,0,0,0,0,8,0,0,0,0,0
23,8,5,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0
25,9,4,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0
17,7,4,0,0,0,11,0,0,0,0,0,14,0,0,0,0,0
39,7,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
38,7,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0
35,6,2,7,0,0,2,0,0,0,0,0,1,0,0,0,0,0
7,4,1,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,4,2,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0
36,6,2,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,8,2,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0
21,8,2,0,0,0,9,0,0,0,0,0,13,0,0,0,0,0
28,9,3,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0
21,9,3,0,0,0,18,0,0,0,0,0,2,0,0,0,0,0
18,8,3,0,0,0,19,0,0,0,0,0,5,0,0,0,0,0
28,9,5,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0
24,9,5,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0
27,11,5,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0
14,12,4,0,0,0,15,0,0,0,0,0,7,0,1,0,0,0
16,13,5,0,0,0,13,0,0,0,0,0,6,0,0,0,0,0
20,21,5,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0
20,24,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
17,25,5,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0
16,25,5,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
16,23,5,0,0,0,6,0,0,0,1,0,1,0,1,0,0,0
