Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
23,4,4,0,0,0,13,1,0,0,0,0,0,0,6,0,0,0
28,4,5,0,0,0,7,1,0,0,0,0,2,0,4,0,0,0
20,5,6,0,0,0,12,0,0,0,0,0,5,0,3,0,0,0
22,7,7,0,0,0,11,0,0,0,0,0,2,0,2,0,0,0
18,11,14,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
14,10,17,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0
14,12,17,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0
11,13,16,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
14,13,16,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0
12,14,15,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0
13,11,13,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0
21,8,13,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0
21,8,13,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0
30,5,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,5,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,5,10,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,6,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,7,11,1,0,0,4,0,0,0,0,0,7,0,0,0,0,0
19,10,13,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
13,12,13,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0
9,11,13,0,0,0,11,0,0,0,0,0,7,0,0,0,0,0
15,9,14,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0
14,13,14,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0
15,13,14,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0
15,12,13,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0
19,11,11,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0
16,8,6,0,0,0,16,0,0,0,0,0,5,0,0,0,0,0
17,9,6,0,0,0,13,0,0,0,0,0,5,0,1,0,0,0
28,10,5,0,0,0,2,0,0,0,0,0,3,0,3,0,0,0
28,7,4,0,0,0,6,0,0,0,1,0,2,0,3,0,0,0
