Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
16,10,4,1,0,0,11,1,0,0,0,0,12,0,1,0,0,0
28,11,5,0,0,0,9,0,0,0,0,0,2,0,1,0,0,0
27,13,7,0,0,0,4,0,0,0,0,0,4,0,1,0,0,0
24,14,7,0,0,0,8,0,0,0,0,0,2,0,1,0,0,0
18,13,9,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0
24,13,8,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
25,13,8,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0
22,9,6,0,0,0,5,0,0,0,0,0,14,0,0,0,0,0
31,9,7,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
26,8,7,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0
23,12,6,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0
19,11,5,0,0,0,14,0,0,0,0,0,7,0,0,0,0,0
26,13,4,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0
24,15,3,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0
25,13,3,0,1,0,12,0,0,0,0,0,2,0,0,0,0,0
22,12,2,1,1,0,13,0,0,0,0,0,4,0,1,0,0,0
30,9,2,1,1,0,8,0,0,0,0,0,5,0,0,0,0,0
36,9,2,4,1,0,1,0,0,0,0,0,3,0,0,0,0,0
30,7,2,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,48,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,49,1,0,0,0,0,0,0,0,1,0,0,0,0,0
31,8,1,13,1,0,0,0,0,0,0,0,2,0,0,0,0,0
40,8,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0
34,9,2,0,1,0,8,0,0,0,0,0,2,0,0,0,0,0
11,9,4,0,1,0,19,0,0,0,0,0,12,0,0,0,0,0
24,13,4,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0
23,14,5,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0
24,11,5,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0
20,8,5,0,0,0,14,0,0,0,0,0,9,0,0,0,0,0
27,8,7,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0
30,8,7,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0
30,7,7,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0
25,8,7,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0
24,9,8,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0
28,9,9,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0
23,9,8,0,0,0,10,0,0,0,0,0,6,0,0,0,0,0
20,10,7,1,0,0,12,0,0,0,0,0,5,0,1,0,0,0
25,12,6,1,0,0,6,1,0,0,0,0,5,0,0,0,0,0
