Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
16,10,2,0,0,0,3,0,1,0,1,0,2,0,0,0,0,0
16,9,2,0,0,0,4,0,1,0,1,0,2,0,0,0,0,0
16,11,2,0,0,0,4,0,1,0,0,0,1,0,0,0,0,0
14,10,3,0,0,0,4,0,1,0,0,0,2,0,1,0,0,0
12,9,3,0,0,0,6,0,1,0,0,0,4,0,0,0,0,0
15,8,3,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0
19,11,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
15,9,3,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0
7,7,3,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0
9,5,3,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0
19,5,3,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0
22,4,3,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
23,3,2,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
13,1,2,0,0,0,7,0,0,0,0,0,12,0,0,0,0,0
24,2,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
23,3,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
18,3,1,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0
15,3,1,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0
28,3,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0
29,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,1,4,0,0,1,0,0,0,0,0,3,0,0,0,0,0
29,2,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
22,2,1,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0
21,3,1,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0
21,3,1,0,0,0,6,0,1,0,0,0,3,0,0,0,0,0
19,2,1,0,0,0,7,0,1,0,0,0,5,0,0,0,0,0
24,2,1,0,0,0,5,0,1,0,0,0,2,0,0,0,0,0
17,4,1,0,0,0,7,0,2,0,0,0,4,0,0,0,0,0
14,5,1,0,0,0,8,0,2,0,0,0,5,0,0,0,0,0
19,7,1,0,0,0,5,0,2,0,0,0,1,0,0,0,0,0
20,7,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0
16,6,1,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0
10,7,1,0,0,0,8,0,3,0,0,0,6,0,0,0,0,0
14,9,1,0,0,0,5,0,4,0,0,0,2,0,0,0,0,0
