Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
35,9,2,0,0,0,5,1,0,1,0,0,4,0,2,0,0,0
40,10,2,0,0,0,4,1,0,0,0,0,2,0,0,0,0,0
32,12,2,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0
24,15,2,0,0,0,8,0,0,0,0,0,9,0,1,0,0,0
36,12,2,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
27,10,2,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0
36,9,2,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0
42,8,2,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0
49,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,8,2,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0
36,8,2,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0
29,10,2,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0
39,12,2,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
27,14,2,0,0,0,5,0,0,0,0,0,9,0,2,0,0,0
