Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
10,14,6,0,0,0,13,0,0,1,0,0,4,0,0,0,0,0
12,16,7,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0
9,19,7,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0
11,22,8,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0
15,21,7,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
18,20,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
15,17,7,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
13,14,4,0,0,0,12,0,0,0,0,0,5,0,0,0,0,0
11,8,4,0,0,0,22,0,0,0,0,0,3,0,0,0,0,0
10,5,3,0,0,0,28,0,0,0,0,0,2,0,0,0,0,0
13,3,3,0,0,0,22,0,0,0,0,0,7,0,0,0,0,0
40,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
42,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
41,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,3,1,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0
10,4,3,0,0,0,22,0,0,0,0,0,9,0,0,0,0,0
11,7,3,0,0,0,24,0,0,0,0,0,3,0,0,0,0,0
19,10,4,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0
18,12,5,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0
18,15,5,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0
18,18,6,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
12,21,8,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
8,21,8,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0
9,18,7,0,0,0,8,0,0,0,0,0,5,0,1,0,0,0
14,17,7,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0
12,17,8,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0
10,14,8,0,0,0,7,0,0,0,1,0,8,0,0,0,0,0
15,15,6,0,0,0,7,1,0,0,1,0,2,0,1,0,0,0
