Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
43,3,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0
48,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
49,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
50,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
44,3,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
21,4,0,0,0,0,9,0,0,2,0,0,11,0,8,0,0,0
