Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
9,16,15,0,0,0,9,1,0,1,0,0,2,0,0,0,0,0
10,14,15,0,0,0,8,1,0,0,0,0,3,0,2,0,0,0
13,17,17,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
15,16,17,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
12,15,17,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
14,12,16,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0
16,10,17,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0
15,10,18,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0
16,7,18,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0
23,6,14,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0
26,7,13,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
28,5,10,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0
19,5,6,0,0,0,18,0,0,0,0,0,5,0,0,0,0,0
17,4,5,1,0,0,20,0,0,0,0,0,6,0,0,0,0,0
36,3,4,1,0,0,7,0,0,0,0,0,2,0,0,0,0,0
33,3,4,3,0,0,2,0,0,0,0,0,8,0,0,0,0,0
36,3,4,6,0,0,2,0,0,0,0,0,2,0,0,0,0,0
18,1,0,32,0,0,2,0,0,0,0,0,0,0,0,0,0,0
14,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,2,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,3,3,2,0,0,1,0,0,0,0,0,6,0,0,0,0,0
42,4,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
38,4,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
17,4,6,0,0,0,20,0,0,0,0,0,6,0,0,0,0,0
8,5,7,0,0,0,23,0,0,0,0,0,10,0,0,0,0,0
31,6,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
21,5,10,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0
25,6,14,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0
22,7,16,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0
22,7,16,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0
14,10,16,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0
11,12,16,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0
9,14,15,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0
9,17,16,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0
10,17,15,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0
11,18,15,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0
12,18,12,0,0,0,6,0,0,1,0,1,1,0,2,0,0,0
