Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
27,14,4,0,0,0,4,0,0,1,2,0,4,0,2,0,0,0
28,15,4,0,0,0,8,0,0,0,2,0,0,0,1,0,0,0
20,11,4,0,0,0,11,0,0,0,2,0,9,0,1,0,0,0
22,14,4,0,0,0,11,0,0,0,1,0,4,0,2,0,0,0
24,16,3,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0
34,13,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
35,12,3,0,3,0,2,0,0,0,0,0,3,0,0,0,0,0
30,11,3,0,5,0,1,0,0,0,0,0,8,0,0,0,0,0
31,9,3,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0
27,8,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
35,9,2,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0
34,10,2,0,6,0,3,0,0,0,0,0,3,0,0,0,0,0
34,11,2,0,3,0,5,0,0,0,0,0,3,0,0,0,0,0
26,13,2,0,3,0,9,0,0,0,0,0,5,0,0,0,0,0
20,18,3,0,0,0,12,0,0,0,0,0,4,0,1,0,0,0
20,19,3,0,0,0,9,0,0,0,0,0,6,0,1,0,0,0
