Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
15,13,11,0,0,0,6,0,0,0,1,0,4,0,3,0,0,0
16,13,14,0,0,0,4,0,0,0,0,0,5,0,1,0,0,0
20,13,15,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
15,12,16,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0
12,15,15,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0
13,16,17,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
9,14,15,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0
12,15,14,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0
16,13,14,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0
17,10,13,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0
17,7,10,0,0,0,15,0,0,0,0,0,4,0,0,0,0,0
15,4,7,0,0,0,22,0,0,0,0,0,5,0,0,0,0,0
13,4,5,0,0,0,19,0,0,0,0,0,12,0,0,0,0,0
42,2,3,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
45,2,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0
40,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,3,4,0,0,1,0,0,0,0,0,4,0,0,0,0,0
39,2,4,2,0,0,4,0,0,0,0,0,2,0,0,0,0,0
14,2,6,1,0,0,15,0,0,0,0,0,15,0,0,0,0,0
15,5,8,0,0,0,20,0,0,0,0,0,5,0,0,0,0,0
17,9,11,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0
20,10,12,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0
17,12,15,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0
13,12,17,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0
12,14,17,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0
13,13,16,0,0,0,8,0,0,0,0,0,2,0,1,0,0,0
12,14,15,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0
11,13,14,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0
13,16,15,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0
16,16,13,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0
15,15,13,0,0,0,7,0,0,0,0,0,2,0,1,0,0,0
18,16,10,0,0,0,5,0,0,0,0,0,3,0,1,0,0,0
16,18,7,0,0,0,4,0,1,1,1,0,2,0,3,0,0,0
