Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
19,11,7,0,0,0,9,0,2,1,0,0,2,0,3,0,0,0
24,18,7,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
21,18,7,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0
18,18,7,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
18,16,7,0,0,0,9,0,0,0,0,0,1,0,3,0,0,0
14,19,7,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0
17,21,6,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0
12,22,6,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0
16,21,6,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0
14,21,5,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0
21,21,4,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
23,20,2,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
25,15,2,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0
27,13,2,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0
27,13,2,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0
16,6,1,0,0,0,11,0,0,0,0,0,20,0,0,0,0,0
38,4,1,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0
46,3,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
48,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,4,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
39,4,1,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0
14,8,2,0,0,0,13,0,0,0,0,0,17,0,0,0,0,0
24,14,2,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0
25,14,2,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0
28,14,2,0,0,0,7,0,1,0,0,0,2,0,0,0,0,0
28,17,2,0,0,0,3,0,1,0,0,0,3,0,0,0,0,0
21,19,2,0,0,0,6,0,1,0,0,0,5,0,0,0,0,0
11,22,2,0,0,0,13,0,1,0,0,0,5,0,0,0,0,0
14,21,3,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0
12,20,5,0,0,0,11,0,1,0,0,0,5,0,0,0,0,0
14,23,5,0,0,0,7,1,1,0,0,0,3,0,0,0,0,0
16,22,3,0,0,0,6,2,1,0,0,0,1,0,3,0,0,0
