Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
44,1,1,0,0,0,11,0,0,0,0,0,4,0,1,0,0,0
58,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
57,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
58,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
43,1,1,0,0,0,10,1,0,0,0,0,6,0,0,0,0,0
