Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
19,15,0,0,0,0,13,0,1,2,0,0,1,0,9,0,0,0
25,13,0,0,0,0,12,0,0,0,0,0,3,0,7,0,0,0
40,11,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
45,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
50,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
41,13,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
23,14,0,0,0,0,13,0,0,0,0,0,3,0,7,0,0,0
