Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
19,17,1,0,0,0,5,0,4,1,1,1,1,0,2,0,0,0
21,12,1,0,0,0,7,0,4,1,1,0,4,0,1,0,0,0
31,10,1,0,0,0,5,0,2,0,0,0,2,0,1,0,0,0
25,10,1,0,0,0,6,0,2,0,0,0,6,0,2,0,0,0
19,16,1,0,0,0,7,0,0,0,0,0,8,0,1,0,0,0
24,16,1,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0
28,14,0,0,2,0,5,0,0,0,0,0,3,0,0,0,0,0
34,14,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0
30,13,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0
21,11,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
21,13,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
32,13,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
34,13,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0
32,13,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0
21,14,0,0,1,0,7,0,0,0,0,0,9,0,0,0,0,0
18,14,0,0,0,0,16,0,1,0,0,0,2,0,1,0,0,0
19,5,1,0,0,0,15,0,2,0,0,0,7,0,3,0,0,0
31,9,3,0,0,0,3,0,2,0,1,0,0,0,3,0,0,0
