Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
29,11,0,0,0,0,9,1,0,0,0,0,6,0,6,0,0,0
41,9,0,0,0,0,4,0,0,0,0,0,6,0,2,0,0,0
47,9,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0
49,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
54,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
46,10,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0
44,10,0,0,0,0,4,0,0,0,0,0,3,0,1,0,0,0
