Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
13,21,3,0,1,0,6,1,0,0,0,0,4,0,3,0,0,0
17,20,2,0,1,0,7,1,0,0,0,0,4,0,0,0,0,0
24,16,2,0,1,0,7,0,0,0,0,0,2,0,0,0,0,0
29,15,2,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0
34,14,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,4,44,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8,44,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8,44,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8,44,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8,44,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8,44,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8,44,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8,44,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,6,44,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,4,41,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12,1,0,8,0,1,0,0,0,0,0,2,0,0,0,0,0
29,15,1,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0
24,17,1,0,2,0,6,0,0,0,0,0,2,0,0,0,0,0
19,20,2,0,1,0,9,0,0,0,0,0,0,0,1,0,0,0
11,23,3,0,0,0,10,0,0,0,0,0,3,0,2,0,0,0
14,19,3,0,0,0,10,0,0,0,0,0,2,0,4,0,0,0
