Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
23,10,4,0,0,0,11,3,0,2,1,0,0,0,5,0,0,0
16,12,3,0,0,0,13,2,0,0,0,0,8,1,4,0,0,0
24,15,4,0,0,0,10,2,0,1,0,0,0,0,3,0,0,0
21,19,4,0,0,0,10,2,0,1,0,0,1,0,1,0,0,0
11,23,4,0,0,0,12,2,0,0,0,0,6,0,1,0,0,0
10,26,4,0,0,0,10,2,0,0,0,0,6,0,1,0,0,0
19,27,3,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0
25,25,3,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
30,23,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
25,21,3,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0
21,14,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0
22,15,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
29,20,3,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0
27,23,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
19,24,3,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0
18,25,3,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0
10,22,3,0,0,0,13,1,0,0,0,0,9,0,1,0,0,0
17,25,3,0,0,0,7,1,0,0,1,0,4,0,1,0,0,0
