Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
34,4,1,0,0,0,10,2,0,0,0,0,5,0,15,0,0,0
59,4,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0
65,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
67,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63,4,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
