Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
21,13,3,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0
19,11,5,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0
18,11,5,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0
20,13,5,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0
22,12,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
16,12,7,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0
18,12,7,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
18,14,6,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0
20,12,6,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0
15,11,6,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0
12,7,5,0,0,0,22,0,0,0,0,0,2,0,0,0,0,0
13,6,5,0,0,0,20,0,0,0,0,0,4,0,0,0,0,0
17,4,3,0,0,0,14,0,0,0,0,0,10,0,0,0,0,0
40,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
40,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
43,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,3,1,2,0,0,1,0,0,0,0,0,5,0,0,0,0,0
34,3,3,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0
18,5,4,0,0,0,13,0,0,0,0,0,8,0,0,0,0,0
19,6,5,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0
16,8,6,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0
20,12,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
13,12,6,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0
17,14,6,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0
19,15,7,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0
22,14,7,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
17,15,7,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0
18,12,6,0,0,0,7,0,0,0,0,0,4,0,1,0,0,0
20,16,5,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0
20,15,4,0,0,0,5,0,0,0,0,0,3,0,1,0,0,0
