Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
25,17,0,0,0,0,5,1,0,0,0,0,3,0,2,0,0,0
25,19,0,0,0,0,6,1,0,0,0,0,2,0,0,0,0,0
20,18,0,0,0,0,9,0,0,0,0,0,6,0,0,0,0,0
20,12,0,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0
35,11,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
32,8,1,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0
31,6,1,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0
35,6,1,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
19,7,1,0,0,0,16,0,0,0,0,0,10,0,0,0,0,0
22,6,1,0,0,0,21,0,0,0,0,0,3,0,0,0,0,0
23,6,1,1,0,0,18,0,0,0,0,0,4,0,0,0,0,0
29,4,1,1,0,0,6,0,0,0,0,0,12,0,0,0,0,0
43,4,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
40,4,1,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0
5,0,0,47,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,4,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0
46,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
23,4,1,0,0,0,9,0,0,0,0,0,16,0,0,0,0,0
30,5,1,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0
29,7,1,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0
27,11,1,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0
23,10,1,0,0,0,11,0,0,0,0,0,8,0,0,0,0,0
34,10,1,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
34,14,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
28,14,1,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0
23,16,0,0,0,0,8,1,0,0,0,0,4,0,1,0,0,0
15,16,0,0,0,0,8,1,0,0,1,0,12,0,0,0,0,0
26,17,0,0,0,0,3,1,0,1,1,0,4,0,0,0,0,0
