Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
28,9,0,0,0,0,7,0,1,0,1,0,5,0,1,0,0,0
24,11,0,0,0,0,9,0,1,0,0,0,7,0,0,0,0,0
30,11,0,0,0,0,7,0,1,0,0,0,3,0,0,0,0,0
26,16,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0
23,20,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0
25,18,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
25,15,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0
23,12,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0
36,12,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
37,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
28,12,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0
23,13,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0
23,19,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0
18,20,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0
25,16,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0
30,13,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0
28,11,0,0,0,0,9,1,0,0,0,0,3,0,0,0,0,0
27,9,0,0,0,0,11,1,0,0,0,0,3,0,1,0,0,0
