Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
20,13,1,1,0,0,9,0,0,0,1,0,9,0,0,0,0,0
26,16,1,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0
27,19,1,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0
22,17,1,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0
19,16,1,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0
30,10,1,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0
39,7,1,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0
45,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,6,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,10,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
31,12,1,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0
20,14,1,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0
21,18,1,0,0,0,8,0,0,0,0,0,5,0,1,0,0,0
26,18,1,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0
24,15,1,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0
16,15,1,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0
28,14,1,0,0,0,6,0,0,1,0,0,0,0,4,0,0,0
28,13,1,0,0,0,3,0,0,2,0,0,3,0,4,0,0,0
