Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
20,8,0,0,0,0,14,1,0,2,0,0,3,0,6,0,0,0
11,16,0,0,0,0,16,1,0,1,0,0,8,0,1,0,0,0
15,32,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
16,33,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
15,31,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0
25,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,28,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
24,26,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,24,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,28,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
25,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,28,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0
14,31,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0
11,31,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0
