Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
22,13,4,0,0,0,8,2,0,0,0,0,2,0,1,0,0,0
19,9,4,0,0,0,14,2,0,0,0,0,1,0,3,0,0,0
11,7,3,0,0,0,21,2,0,0,0,0,6,0,2,0,0,0
22,9,3,0,0,0,12,2,0,0,0,0,4,0,0,0,0,0
32,10,3,0,0,0,4,1,0,0,0,0,1,0,1,0,0,0
33,9,4,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0
28,9,5,0,0,0,6,0,0,0,0,0,3,0,1,0,0,0
21,10,5,0,0,0,13,0,0,0,0,0,2,0,1,0,0,0
16,9,5,0,0,0,11,0,0,0,0,0,10,0,1,0,0,0
30,9,5,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
32,9,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
38,6,3,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
28,3,2,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0
26,3,2,0,1,0,15,0,0,0,0,0,5,0,0,0,0,0
26,3,2,2,1,0,9,0,0,0,0,0,9,0,0,0,0,0
34,3,2,7,1,0,4,0,0,0,0,0,1,0,0,0,0,0
34,2,2,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0
15,1,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,44,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10,1,0,38,1,0,1,0,0,0,0,0,1,0,0,0,0,0
37,3,2,7,1,0,0,0,0,0,0,0,2,0,0,0,0,0
44,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,2,2,1,0,10,0,0,0,0,0,2,0,0,0,0,0
14,3,2,0,1,0,23,0,1,0,0,0,8,0,0,0,0,0
15,5,2,0,1,0,23,0,1,0,0,0,5,0,0,0,0,0
32,8,4,0,0,0,6,0,1,0,0,0,1,0,0,0,0,0
33,7,4,0,0,0,3,0,1,0,0,0,4,0,0,0,0,0
33,6,4,0,0,0,4,0,1,0,0,0,4,0,0,0,0,0
30,8,4,0,0,0,6,0,1,0,0,0,3,0,0,0,0,0
24,8,5,0,0,0,8,0,1,0,0,0,6,0,0,0,0,0
24,9,5,0,0,0,9,0,1,0,0,0,4,0,0,0,0,0
24,8,4,0,0,0,10,0,1,0,0,0,5,0,0,0,0,0
27,8,4,0,0,0,9,0,1,0,0,0,3,0,0,0,0,0
25,11,4,0,0,0,7,0,1,0,0,0,4,0,0,0,0,0
26,11,4,0,0,0,7,0,1,0,0,0,3,0,0,0,0,0
25,10,2,1,0,0,8,0,1,0,0,0,3,0,2,0,0,0
