Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
17,16,9,0,0,0,6,1,0,1,0,0,5,0,1,0,0,0
16,19,9,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0
15,20,9,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0
14,23,9,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0
17,21,9,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
14,22,9,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0
18,18,9,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
23,14,8,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
23,13,8,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0
33,11,8,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
35,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,8,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,11,8,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0
24,13,8,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0
25,16,8,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
16,17,8,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0
15,22,9,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0
15,22,9,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0
15,23,9,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
16,20,9,0,0,0,6,0,0,0,0,0,3,0,2,0,0,0
