Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
12,29,4,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0
10,32,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
11,32,4,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
11,30,4,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0
17,29,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
21,28,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
23,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,22,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,28,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
17,30,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
10,31,4,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0
11,33,4,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
9,34,4,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0
9,36,4,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
14,22,4,0,0,0,7,0,0,0,0,0,4,0,3,0,0,0
