Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
28,15,1,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0
37,14,1,0,4,0,1,0,0,0,0,0,4,0,0,0,0,0
39,14,1,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0
37,11,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
12,7,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
39,12,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
44,12,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
36,12,1,0,2,0,6,0,0,0,0,0,4,0,0,0,0,0
24,14,1,0,0,0,15,0,0,0,0,0,7,0,0,0,0,0
19,15,1,0,0,0,17,0,0,0,0,0,6,0,3,0,0,0
26,20,2,0,0,0,6,0,0,0,1,0,1,0,5,0,0,0
