Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
29,12,2,0,0,0,10,1,0,0,0,0,4,0,0,0,0,0
35,11,2,0,0,0,7,1,0,0,0,0,2,0,0,0,0,0
35,7,2,0,0,0,7,1,0,0,0,0,6,0,0,0,0,0
31,4,4,0,0,0,11,0,0,0,0,0,8,0,0,0,0,0
32,5,4,0,0,0,10,0,0,0,0,0,7,0,0,0,0,0
25,7,4,0,0,0,14,0,0,0,0,0,8,0,0,0,0,0
29,9,4,0,0,0,12,0,0,0,0,0,4,0,0,0,0,0
27,9,4,0,0,0,11,0,0,0,0,0,7,0,0,0,0,0
32,11,4,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
29,13,5,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0
27,15,5,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0
18,15,5,0,0,0,18,0,0,0,0,0,2,0,0,0,0,0
15,13,3,0,0,0,25,0,0,0,0,0,2,0,0,0,0,0
14,8,2,0,0,0,25,0,0,0,0,0,9,0,0,0,0,0
34,8,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
32,5,1,0,0,0,9,0,0,0,0,0,11,0,0,0,0,0
38,5,1,1,0,0,7,0,0,0,0,0,6,0,0,0,0,0
36,3,1,6,0,0,3,0,0,0,0,0,9,0,0,0,0,0
43,2,1,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2,1,10,0,0,2,0,0,0,0,0,10,0,0,0,0,0
48,3,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0
31,6,1,0,0,0,13,0,0,0,0,0,7,0,0,0,0,0
32,7,1,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0
13,7,1,0,0,0,33,0,0,0,0,0,4,0,0,0,0,0
14,12,2,0,0,0,27,0,0,0,0,0,3,0,0,0,0,0
27,16,5,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0
31,16,5,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
28,12,5,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0
26,13,5,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0
35,11,4,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
30,12,4,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0
29,9,4,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0
24,6,4,0,0,0,20,0,0,0,0,0,4,0,0,0,0,0
28,7,4,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0
