Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
17,35,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0
13,36,1,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0
14,28,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,0
22,26,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0
27,23,0,0,0,1,5,0,0,0,0,0,3,0,0,0,0,0
34,19,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0
21,5,0,0,23,9,0,0,0,0,0,0,1,0,0,0,0,0
18,0,0,0,32,9,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,48,9,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,50,9,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,50,9,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,50,9,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,50,9,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,50,9,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,50,9,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,50,9,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,50,9,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,50,9,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,48,9,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,0,40,9,0,0,0,0,0,0,2,0,0,0,0,0
28,15,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0
31,16,0,0,2,9,0,0,0,0,0,0,1,0,0,0,0,0
25,19,0,0,0,9,1,0,0,0,0,0,5,0,0,0,0,0
19,22,0,0,0,9,8,0,0,0,0,0,1,0,0,0,0,0
11,22,1,0,0,9,12,0,0,0,0,0,4,0,0,0,0,0
9,24,1,0,0,8,13,0,0,0,0,0,2,0,2,0,0,0
11,11,1,0,0,8,17,0,0,0,0,0,6,0,5,0,0,0
