Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
28,7,7,0,0,0,7,0,0,0,0,0,2,0,1,0,0,0
29,8,6,0,0,0,5,0,0,0,0,0,3,0,1,0,0,0
26,11,6,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
13,14,6,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0
17,17,7,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0
19,17,7,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
22,16,7,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0
22,15,6,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
13,12,6,0,0,0,14,0,0,0,0,0,7,0,0,0,0,0
16,9,5,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0
12,8,2,0,0,0,22,0,0,0,0,0,8,0,0,0,0,0
37,6,2,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
37,5,1,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0
41,4,1,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0
37,4,0,8,0,0,2,0,0,0,0,0,1,0,0,0,0,0
11,0,0,39,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,4,1,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,4,1,3,0,0,6,0,0,0,0,0,4,0,0,0,0,0
33,6,1,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0
36,7,2,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
16,7,2,0,0,0,14,0,0,0,0,0,13,0,0,0,0,0
25,10,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
17,11,4,0,0,0,11,0,0,0,0,0,9,0,0,0,0,0
24,12,5,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0
19,12,5,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0
23,13,6,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0
21,14,6,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0
22,11,6,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0
10,10,6,0,0,0,15,0,0,0,0,0,10,0,1,0,0,0
22,12,7,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0
22,13,7,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0
25,11,7,0,0,0,6,0,0,0,0,0,2,0,1,0,0,0
25,12,7,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0
23,14,5,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0
24,14,4,0,0,0,6,0,0,0,0,0,3,0,1,0,0,0
