Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
21,25,2,0,0,9,7,0,0,0,0,0,3,0,1,0,0,0
20,24,2,0,0,10,8,0,0,0,0,0,4,0,0,0,0,0
25,21,2,0,0,11,4,0,0,0,0,0,5,0,0,0,0,0
29,20,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
23,17,2,0,6,20,0,0,0,0,0,0,0,0,0,0,0,0
5,4,0,0,20,39,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,28,39,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29,39,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29,39,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29,39,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29,39,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29,39,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29,39,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29,39,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29,39,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29,39,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29,39,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29,39,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,29,39,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,25,39,0,0,0,0,0,0,0,0,0,0,0,0
24,10,0,0,3,30,0,0,0,0,0,0,1,0,0,0,0,0
29,11,1,0,0,25,1,0,0,0,0,0,1,0,0,0,0,0
31,11,1,0,0,22,2,0,0,0,0,0,1,0,0,0,0,0
32,15,1,0,0,15,3,0,0,0,0,0,2,0,0,0,0,0
24,17,1,0,0,14,6,0,0,0,0,0,4,0,2,0,0,0
