Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
1,1,0,0,0,0,0,0,0,9,27,2,0,6,2,8,0,0
0,0,0,0,0,0,0,0,0,9,38,2,0,2,2,3,0,0
0,0,0,0,0,0,0,0,0,11,42,2,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,10,42,2,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,12,37,2,0,5,0,0,0,0
0,0,0,0,0,0,0,0,0,14,34,2,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,18,31,2,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,8,9,1,0,12,0,26,0,0
0,0,0,0,0,0,0,0,0,18,1,0,0,7,0,30,0,0
0,0,0,0,0,0,0,0,0,25,1,0,0,5,0,25,0,0
0,0,0,0,0,0,0,0,0,44,2,0,0,2,0,8,0,0
0,0,0,0,0,0,0,0,0,45,4,0,0,1,0,6,0,0
0,0,0,0,0,0,0,0,0,42,5,0,0,4,0,5,0,0
0,0,0,0,0,0,0,0,0,36,7,0,0,1,0,12,0,0
0,0,0,0,0,0,0,0,0,14,7,0,0,19,0,16,0,0
0,0,0,0,0,0,0,0,0,37,9,0,0,1,0,9,0,0
0,0,0,0,0,0,0,0,0,32,9,0,0,4,0,11,0,0
0,0,0,0,0,0,0,0,0,40,9,0,0,4,0,3,0,0
0,0,0,0,0,0,0,0,0,39,10,1,0,2,1,3,0,0
0,0,0,0,0,0,0,0,0,19,10,2,0,15,3,7,0,0
0,0,0,0,0,0,0,0,0,23,15,3,0,4,4,7,0,0
0,0,1,0,0,0,0,0,0,22,14,3,0,5,5,6,0,0
