Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
29,20,2,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0
30,16,2,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0
37,14,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0
42,12,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
45,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,12,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
37,15,2,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
30,16,2,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0
30,18,2,0,0,0,5,0,0,0,0,0,3,0,1,0,0,0
20,20,2,0,0,0,7,0,0,1,0,0,5,0,4,0,0,0
