Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
32,12,3,0,0,0,5,0,0,2,1,0,2,0,1,0,0,0
29,14,3,0,0,0,6,0,0,0,1,0,3,1,1,0,0,0
30,16,3,0,0,0,6,0,0,1,0,0,2,0,0,0,0,0
29,15,2,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0
20,11,2,0,0,0,18,0,0,0,0,0,6,0,1,0,0,0
18,11,1,0,0,0,22,0,0,0,0,0,6,0,0,0,0,0
23,13,2,0,0,0,17,0,0,0,0,0,3,0,0,0,0,0
26,13,2,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0
23,17,3,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0
22,17,4,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0
18,18,4,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0
20,17,3,0,0,0,14,0,0,0,0,0,4,0,0,0,0,0
24,15,3,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0
24,16,3,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0
20,12,3,0,0,0,19,0,0,0,0,0,4,0,0,0,0,0
14,8,3,0,0,0,20,0,0,0,0,0,13,0,0,0,0,0
45,5,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
45,4,2,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0
46,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,4,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,4,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,4,2,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0
18,8,2,0,0,0,14,0,0,0,0,0,16,0,0,0,0,0
27,12,2,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0
21,16,3,0,0,0,11,0,0,0,0,0,7,0,0,0,0,0
29,17,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
22,16,3,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0
21,18,4,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0
17,16,3,0,0,0,17,0,0,0,0,0,5,0,0,0,0,0
16,14,3,0,0,0,21,0,0,0,0,0,4,0,0,0,0,0
21,14,4,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0
23,13,5,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0
21,15,4,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0
20,15,4,0,0,0,13,0,0,0,0,0,6,0,0,0,0,0
23,14,3,0,0,0,12,0,0,0,0,0,5,0,1,0,0,0
29,16,3,0,0,0,5,0,0,0,0,0,4,0,1,0,0,0
