Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
31,16,3,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0
28,15,3,0,0,0,8,1,0,0,0,0,2,0,0,0,0,0
25,13,3,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0
27,11,3,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0
35,11,3,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0
40,11,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
43,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,11,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
36,12,3,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
22,13,3,0,0,0,5,0,0,0,0,0,14,0,0,0,0,0
29,15,3,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0
25,15,3,0,0,0,9,0,0,0,0,0,3,0,2,0,0,0
31,15,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
26,8,3,0,0,0,6,0,0,1,0,0,5,0,8,0,0,0
