Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
15,26,2,0,0,0,3,0,0,0,0,0,4,0,1,0,0,0
16,25,2,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
19,22,2,0,0,0,4,0,0,0,0,0,3,0,1,0,0,0
19,21,2,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0
26,21,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
27,18,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,15,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,18,2,6,1,0,0,0,0,0,0,0,3,0,0,0,0,0
23,20,2,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0
20,21,2,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
17,24,2,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
15,26,2,0,0,0,3,0,1,0,0,0,3,0,1,0,0,0
15,25,2,0,0,0,4,0,1,0,0,0,3,0,1,0,0,0
