Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
1,6,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0
4,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3,5,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
5,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,6,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
5,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
5,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
8,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
10,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0
9,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
8,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
10,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,1,0,0,2,0,0,0,0,0,5,0,0,0,0,0
10,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
8,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
8,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
8,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
7,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
7,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
6,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
7,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,6,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
4,6,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
