Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
29,13,2,0,0,0,13,0,0,0,0,0,3,0,1,0,0,0
28,13,2,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0
21,13,2,0,0,0,17,0,0,0,0,0,8,0,0,0,0,0
24,23,2,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0
28,21,2,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0
21,18,2,0,0,0,7,0,0,0,0,0,13,0,0,0,0,0
35,18,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0
37,14,2,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0
45,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,15,2,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0
33,17,2,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0
19,19,2,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0
23,21,2,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0
25,22,2,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0
24,14,2,0,0,0,14,0,0,1,0,0,5,0,1,0,0,0
27,12,2,0,0,0,14,0,0,0,1,0,3,1,1,0,0,0
