Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
30,6,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
29,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
27,6,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0
26,6,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
28,6,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
31,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,7,0,0,0,0,2,0,0,0,1,0,5,0,1,0,0,0
