Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
3,2,1,0,0,0,5,0,0,0,0,0,3,0,1,0,0,0
8,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,5,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2,5,1,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0
6,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
5,4,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0
8,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
8,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0
8,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0
8,3,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
6,5,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
4,6,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0
5,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
7,5,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
6,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
9,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,2,0,1,0,0,1,0,0,0,0,0,3,0,1,0,0,0
10,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,1,0,1,0,0,2,0,0,1,0,0,0,0,2,0,0,0
