Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
25,18,1,0,0,0,4,0,0,0,0,0,3,0,1,0,0,0
23,17,1,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0
25,19,1,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
20,19,0,0,0,0,7,0,0,0,0,0,5,0,1,0,0,0
25,18,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0
25,14,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0
23,10,0,0,0,0,14,0,0,0,0,0,5,0,0,0,0,0
22,7,0,0,0,0,20,0,0,0,0,0,3,0,0,0,0,0
16,5,0,0,0,0,27,0,0,0,0,0,4,0,0,0,0,0
17,3,0,0,0,0,26,0,0,0,0,0,6,0,0,0,0,0
39,1,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
9,4,0,0,0,0,31,0,0,0,0,0,8,0,0,0,0,0
12,6,0,0,0,0,32,0,0,0,0,0,2,0,0,0,0,0
24,10,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0,0
24,13,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0
24,13,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0
24,16,0,0,0,0,9,1,0,0,0,0,2,0,0,0,0,0
27,15,0,0,0,0,4,1,0,0,0,0,4,0,1,0,0,0
