Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
15,15,2,0,0,0,6,0,0,0,2,0,6,0,2,0,0,0
16,16,2,0,0,0,8,0,0,0,2,0,2,0,2,0,0,0
12,19,2,0,0,0,7,0,0,0,2,0,4,0,2,0,0,0
16,20,2,0,0,0,6,0,0,0,1,0,2,0,1,0,0,0
18,18,2,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0
24,17,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
24,17,2,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0
24,13,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
16,7,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
24,13,1,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0
27,15,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0
21,17,1,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0
13,18,1,0,1,0,12,0,0,0,0,0,3,0,0,0,0,0
12,19,2,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0
