Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
19,13,1,0,0,0,11,1,0,2,1,0,2,0,2,0,0,0
11,18,1,0,0,0,7,0,0,2,1,0,10,0,2,0,0,0
29,14,1,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0
37,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,14,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
35,13,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
39,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,12,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
37,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,15,1,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0
