Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
1,1,0,6,0,1,6,0,0,0,0,0,0,0,0,0,0,0
0,3,0,4,0,1,6,0,0,0,0,0,1,0,0,0,0,0
1,3,0,3,0,1,6,0,0,0,0,0,1,0,0,0,0,0
4,3,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0
9,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
9,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,4,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0
3,4,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0
3,1,1,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0
3,3,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,1,9,0,0,0,0,0,1,0,0,0,0,0
2,2,1,0,0,1,8,0,0,0,0,0,1,0,0,0,0,0
1,10,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0
2,1,1,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0
6,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6,6,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
5,6,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
7,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4,5,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
4,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
