Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
30,13,1,0,0,0,8,0,0,0,0,0,6,0,6,0,0,0
43,11,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0
53,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,12,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
28,13,1,0,0,0,8,0,1,0,0,0,8,0,5,0,0,0
