Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
10,8,2,0,0,0,5,0,0,0,0,0,1,0,2,0,0,0
8,11,2,0,0,0,3,0,0,0,0,0,3,0,1,0,0,0
10,11,3,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
6,12,3,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
8,14,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
9,12,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0
8,12,2,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
7,10,2,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0
8,5,1,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0
13,6,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
9,6,1,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0
13,5,1,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0
14,6,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0
12,6,0,0,1,1,4,0,0,0,0,0,4,0,0,0,0,0
13,5,0,0,1,1,4,0,0,0,0,0,4,0,0,0,0,0
19,4,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
15,3,0,3,1,1,0,0,0,0,0,0,5,0,0,0,0,0
17,3,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14,4,0,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0
17,4,0,3,1,1,0,0,0,0,0,0,2,0,0,0,0,0
16,5,0,1,1,1,0,0,0,0,0,0,4,0,0,0,0,0
17,5,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0
18,5,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0
18,4,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
6,2,0,0,0,1,15,0,0,0,0,0,4,0,0,0,0,0
9,1,1,0,0,1,15,0,0,0,0,0,1,0,0,0,0,0
14,3,1,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0
13,6,2,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0
12,11,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
9,15,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,15,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
4,16,3,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
6,15,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
6,14,3,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0
8,12,3,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0
13,10,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
