Z,A,Q,X,S,W,C,D,E,V,F,R,B,G,T,N,H,Y
27,17,2,0,0,0,4,1,0,0,0,0,1,0,2,0,0,0
24,16,3,0,0,0,6,1,0,0,0,0,4,0,0,0,0,0
29,12,3,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0
26,11,3,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0
24,10,3,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0
20,9,3,0,0,0,18,0,0,0,0,0,4,0,0,0,0,0
22,9,2,0,0,0,17,0,0,0,0,0,4,0,0,0,0,0
23,9,2,0,0,0,15,0,0,0,0,0,5,0,0,0,0,0
24,11,2,0,0,0,12,0,0,0,0,0,5,0,0,0,0,0
20,9,2,0,0,0,17,0,0,0,0,0,6,0,0,0,0,0
23,9,2,0,0,0,13,0,0,0,0,0,7,0,0,0,0,0
34,7,1,1,0,0,6,0,0,0,0,0,5,0,0,0,0,0
42,7,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
42,6,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0
10,1,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34,8,1,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0
20,9,2,0,0,0,16,0,0,0,0,0,7,0,0,0,0,0
19,10,2,0,0,0,17,0,0,0,0,0,6,0,0,0,0,0
28,10,2,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0
31,10,2,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0
27,9,2,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0
23,11,2,0,0,0,13,0,0,0,0,0,5,0,0,0,0,0
20,11,3,0,0,0,16,0,0,0,0,0,4,0,0,0,0,0
21,12,3,0,0,0,12,0,0,0,0,0,6,0,0,0,0,0
27,15,4,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0
24,16,4,0,0,0,4,0,0,1,0,0,3,0,2,0,0,0
